id,title,author,year,type,framework,tags,desc,url,x_labor,y_labor,x_fiscal,y_fiscal
turing-transform,The Turing Transformation,"Agrawal, Gans & Goldfarb",2023,single,,"Strong AUG, DIFF",Task automation enhances jobs and reduces inequality by lowering the skill premium — opening tasks locked behind rare skills to a wider pool.,https://hdsr.mitpress.mit.edu/pub/wy5a8llx,0.5,-0.65,0.65,0.55
pope-leo,Antiqua et Nova,Vatican / Pope Leo XIV,2025,single,,"Strong AUG (prescriptive), DIFF (prescriptive)","AI is a tool, not a species. Emphatically augmentation: AI should enhance human dignity, not replace human agency.",https://www.vatican.va/roman_curia/congregations/cfaith/documents/rc_ddf_doc_20250128_antiqua-et-nova_en.html,0.4,-0.55,,
autor,Labor Market Impacts of AI,Autor,2024,single,,"Strong AUG, DIFF","AI could restore middle-skill jobs by enabling less-trained workers to do expert work. Creates new tasks, net positive for labor demand — if policy steers it.",https://www.nber.org/papers/w32890,0.22,-0.52,0.6,0.45
normal-tech,AI as Normal Technology,Narayanan & Kapoor,2025,single,,"AUG, DIFF","AI is a GPT like electricity. Meaningful productivity impact but slow diffusion — decades, not years. No superintelligence. Existing institutions can adapt.",https://knightcolumbia.org/content/ai-as-normal-technology,0.38,-0.38,0.2,0.15
techno-optimist,Techno-Optimist Manifesto,Andreessen,2023,single,,"AUG (via markets), DIFF (asserted)","Technology makes everyone more productive, anyone can build. Gains diffuse naturally through competition. Pure faith.",https://a16z.com/the-techno-optimist-manifesto/,0.65,-0.28,0.4,-0.35
tbi,Impact of AI on Labour Market,Tony Blair Institute,2024,single,,"Moderate AUG, DIFF",AI saves ~25% of UK workforce time. 1-3M jobs displaced but offset by new demand. GDP +11% by 2050.,https://institute.global/insights/economic-prosperity/the-impact-of-ai-on-the-labour-market,0.18,-0.22,0.1,0.35
dacc,d/acc: My Techno-Optimism,Vitalik Buterin,2023,single,,"Mild AUG, DIFF (prescriptive)","Defensive, decentralized, differential acceleration. Cautious on AI power but strongly prescribes building tech that diffuses power.",https://vitalik.eth.limo/general/2023/11/27/techno_optimism.html,0.65,-0.1,,
turing-trap,The Turing Trap,Brynjolfsson,2022,single,,"AUG (prescribes), DIFF<>CONC",The choice between augmentation and replacement IS the choice between diffuse and concentrated gains.,https://digitaleconomy.stanford.edu/wp-content/uploads/2022/06/The-Turing-Trap-The-Promise-Peril-of-Human-Like-Artificial-Intelligence.pdf,0.08,-0.2,,
acemoglu,Simple Macroeconomics of AI,Acemoglu,2024,single,,"Limited impact, CONC (warns)",Skeptical of large GDP gains. Only modest share of tasks automatable. But what gains exist concentrate with capital owners without active policy.,https://www.nber.org/papers/w32487,-0.38,-0.08,-0.15,-0.1
doctorow,The Reverse Centaur's Guide,Cory Doctorow,2025,single,,"Limited impact, CONC (structural)","AI is a bubble and a worker-frightening machine. Can't do your job, but the narrative breaks labor power.",https://pluralistic.net/2025/12/05/pop-that-bubble/#u-washington,-0.65,-0.18,-0.4,-0.25
chiang,Will A.I. Become the New McKinsey?,Ted Chiang,2023,single,,"Limited impact, CONC (warns)",AI is technically overhyped. Its real function is accountability laundering — companies fire workers even when AI doesn't work.,https://www.newyorker.com/science/annals-of-artificial-intelligence/will-ai-become-the-new-mckinsey,-0.52,-0.08,-0.35,
ilo,Work Transformed,ILO,2025,single,,"Mild REP, DIFF->CONC",1 in 4 workers globally exposed. Some augmentation potential but adoption concentrated in rich countries. Labour income share falling.,https://www.ilo.org/sites/default/files/2025-07/ilo%20brief%20work%20transformed%20promise%20and%20peril%20of%20ai.pdf,-0.18,0.1,-0.2,-0.2
gradual-disemp,Gradual Disempowerment,"Kulveit, Douglas et al.",2025,single,,"Moderate REP, CONC",Incremental AI erodes human economic participation. Institutions slowly misalign from human interests. No sudden break — a structural drift.,https://gradual-disempowerment.ai/,-0.25,0.3,-0.45,-0.4
keep-future-human,Keep the Future Human,Aguirre,2025,single,,"REP (warns), CONC (warns)","Close the gates to AGI, build Tool AI instead. Warns unchecked AGI race leads to replacement + concentrated power.",https://keepthefuturehuman.ai/essay/docs,-0.48,0.35,-0.5,
intelligence-curse,The Intelligence Curse,Drago & Laine,2025,single,,"REP, CONC (default)","AI creates rentier-state dynamics: non-human factors dominate, powerful actors lose incentive to invest in people.",https://intelligence-curse.ai/,-0.58,0.45,-0.75,-0.7
