slug,title,category,url,summary,risk_horizon,governance,rate_of_disruption,who_it_affects,decision_maker,policy_category
sectoral-subsidies,Sectoral Subsidies,public-and-social-investments,https://windfalltrust.org/policy-atlas/sectoral-subsidies,Public investment in sectors delivering public value and supporting employment.,Near Term|Medium Term|Long Term,Subnational|National|International,Gradual|All Scenarios|Rapid,Workers|Firms|Households,Legislators,Public & Social Investments|Infrastructure Investments
employer-tax-breaks,Employer Tax Breaks,public-and-social-investments,https://windfalltrust.org/policy-atlas/employer-tax-breaks,Fiscal incentives for employers who invest in retraining or hire displaced workers.,Near Term|Medium Term|Long Term,Subnational|National|International,Gradual|All Scenarios|Rapid,Firms|Workers,Legislators,Fiscal incentives|Labor policy|AI governance
ai-infrastructural-investments,AI Infrastructural Investments,public-and-social-investments,https://windfalltrust.org/policy-atlas/ai-infrastructural-investments,Government funding for compute infrastructure or energy to increase competitiveness or democratize AI access.,Near Term|Medium Term|Long Term,Subnational|National|International,Gradual|All Scenarios|Rapid,Small Businesses|Public Institutions|AI Infrastructure Providers,Legislators|Multilateral Bodies,Public and Social Investments|Strategic Public Investments
unemployment-benefits,Unemployment Benefits,public-and-social-investments,https://windfalltrust.org/policy-atlas/unemployment-benefits,Modernizing unemployment insurance to expand eligibility and duration.,Near Term|Medium Term|Long Term,Subnational|National,Gradual|All Scenarios|Rapid,Workers|Households,Legislators|Regulatory Agencies,Public & Social Investments|Social Safety Nets
universal-basic-services,Universal Basic Services,public-and-social-investments,https://windfalltrust.org/policy-atlas/universal-basic-services,"Free or heavily subsidized access to essential services such as healthcare, education, housing, or transportation.",Near Term|Medium Term|Long Term,Subnational|National|International,Gradual|All Scenarios|Rapid,Households|Workers,Legislators,Public & Social Investments|Social Safety Nets
job-guarantees-and-public-works-programs,Job Guarantees & Public Works Programs,public-and-social-investments,https://windfalltrust.org/policy-atlas/job-guarantees-and-public-works-programs,Governments functioning as an employer of last resort for all willing individuals.,Near Term|Medium Term|Long Term,Subnational|National|International,Gradual|All Scenarios|Rapid,Workers,Legislators,Public and Social Investments|Social Safety Nets
wage-insurance,Wage Insurance,labor-market-adaptation,https://windfalltrust.org/policy-atlas/wage-insurance,Temporary income supplements to displaced workers who accept reemployment at lower pay.,Near Term|Medium Term|Long Term,National,Gradual|All Scenarios|Rapid,Workers,Legislators|Regulatory Agencies,Public & Social Investments|Social Safety Nets
shortened-work-weeks,Shortened Work Weeks,labor-market-adaptation,https://windfalltrust.org/policy-atlas/shortened-work-weeks,Reduced working hours to distribute work more evenly and convert productivity gains into leisure.,Near Term|Medium Term|Long Term,Subnational|National|International,Gradual|All Scenarios|Rapid,Workers|Firms,Legislators,Labor Market Adaptation|Labor Market Interventions
union-bargaining-rights,Union & Bargaining Rights,labor-market-adaptation,https://windfalltrust.org/policy-atlas/union-bargaining-rights,Strengthened collective bargaining giving workers a voice in AI adoption decisions.,Near Term,Subnational|National|International,Gradual|All Scenarios|Rapid,Workers|Firms,Legislators,Labor Market Adaptation|Labor Market Interventions
skill-gap-analyses,Skill Gap Analyses,labor-market-adaptation,https://windfalltrust.org/policy-atlas/skill-gap-analyses,Standardized AI exposure measurement directing workforce funding where displacement data indicates greatest need.,Near Term|Medium Term|Long Term,Subnational|National,Gradual|All Scenarios|Rapid,Workers|Public Institutions,Regulatory Agencies,Labor Market Adaptation|Labor Market Interventions
workforce-training-and-reskilling-investment,Workforce Training and Reskilling Investment,labor-market-adaptation,https://windfalltrust.org/policy-atlas/workforce-training-and-reskilling-investment,Tax incentives and subsidies connecting displaced workers to skills development.,Near Term|Medium Term|Long Term,Subnational|National,Gradual|All Scenarios|Rapid,Workers|Firms,Legislators,Labor Market Adaptation|Labor Market Interventions
